oa,lsoa,msoa,la
E00172066,E01015169,E02003145,Plymouth
E00172056,E01032658,E02003148,Plymouth
E00076575,E01015152,E02003148,Plymouth
E00076559,E01015156,E02003148,Plymouth
E00076561,E01015155,E02003150,Plymouth
E00076470,E01015136,E02003152,Plymouth
E00076458,E01015135,E02003152,Plymouth
E00076569,E01032658,E02003148,Plymouth
E00076558,E01015152,E02003148,Plymouth
E00172053,E01015158,E02003150,Plymouth
E00076551,E01015151,E02003150,Plymouth
E00076044,E01015054,E02003148,Plymouth
E00076566,E01015155,E02003150,Plymouth
E00076560,E01015152,E02003148,Plymouth
E00076634,E01015168,E02003141,Plymouth
E00076698,E01015181,E02003149,Plymouth
E00075945,E01015031,E02003144,Plymouth
E00075949,E01015032,E02003144,Plymouth
E00076577,E01015156,E02003148,Plymouth
E00076573,E01015156,E02003148,Plymouth
E00076571,E01032658,E02003148,Plymouth
E00076580,E01015158,E02003150,Plymouth
E00076532,E01015158,E02003150,Plymouth
E00075981,E01015047,E02003147,Plymouth
E00076579,E01015156,E02003148,Plymouth
E00076574,E01015156,E02003148,Plymouth
E00076568,E01032658,E02003148,Plymouth
E00076672,E01015182,E02003149,Plymouth
E00076583,E01015156,E02003148,Plymouth
E00076581,E01015158,E02003150,Plymouth
E00172057,E01015158,E02003150,Plymouth
E00076578,E01015158,E02003150,Plymouth
E00076584,E01015158,E02003150,Plymouth
E00076539,E01015158,E02003150,Plymouth
E00076534,E01015158,E02003150,Plymouth
E00172062,E01015157,E02003150,Plymouth
E00076572,E01015157,E02003150,Plymouth
E00076538,E01015157,E02003150,Plymouth
E00172061,E01015157,E02003150,Plymouth
E00172063,E01015157,E02003150,Plymouth
E00076554,E01015153,E02003150,Plymouth
E00076545,E01015153,E02003150,Plymouth
E00172077,E01015157,E02003150,Plymouth
E00172064,E01015157,E02003150,Plymouth
E00076567,E01015155,E02003150,Plymouth
E00076565,E01015155,E02003150,Plymouth
E00076537,E01015155,E02003150,Plymouth
E00076563,E01015155,E02003150,Plymouth
E00076582,E01015157,E02003150,Plymouth
E00076585,E01015157,E02003150,Plymouth
E00076630,E01015172,E02003150,Plymouth
E00075979,E01015046,E02003147,Plymouth
E00076025,E01015045,E02003147,Plymouth
E00076026,E01015046,E02003147,Plymouth
E00075985,E01015046,E02003147,Plymouth
E00075980,E01015046,E02003147,Plymouth
E00172060,E01015048,E02003147,Plymouth
E00075978,E01015045,E02003147,Plymouth
E00076665,E01015171,E02003141,Plymouth
E00075984,E01015047,E02003147,Plymouth
E00075993,E01015047,E02003147,Plymouth
E00075986,E01015048,E02003147,Plymouth
E00075987,E01015048,E02003147,Plymouth
E00075989,E01015048,E02003147,Plymouth
E00075988,E01015048,E02003147,Plymouth
E00075982,E01015046,E02003147,Plymouth
E00075977,E01015045,E02003147,Plymouth
E00075983,E01015046,E02003147,Plymouth
E00075991,E01015047,E02003147,Plymouth
E00075994,E01015047,E02003147,Plymouth
E00076664,E01015171,E02003141,Plymouth
E00076667,E01015171,E02003141,Plymouth
E00076629,E01015173,E02003145,Plymouth
E00076022,E01015045,E02003147,Plymouth
E00076541,E01015151,E02003150,Plymouth
E00076543,E01015151,E02003150,Plymouth
E00076542,E01015152,E02003148,Plymouth
E00076669,E01015172,E02003150,Plymouth
E00076548,E01015151,E02003150,Plymouth
E00076633,E01015173,E02003145,Plymouth
E00076632,E01015173,E02003145,Plymouth
E00076552,E01015152,E02003148,Plymouth
E00076540,E01015151,E02003150,Plymouth
E00076544,E01015151,E02003150,Plymouth
E00076550,E01015153,E02003150,Plymouth
E00076547,E01015151,E02003150,Plymouth
E00076546,E01015152,E02003148,Plymouth
E00076535,E01015153,E02003150,Plymouth
E00076536,E01015153,E02003150,Plymouth
